Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн;;
Лютий 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";30,000;7 791,24;;
Лютий 2024;Djeco;DJ09063;"Djeco Художній комплект для малювання водою ""Що заховано в саду?""";14,000;3 938,10;;
Лютий 2024;Djeco;DJ09064;"Djeco Художній комплект для малювання водою ""Що заховано у лісі?""";148,000;39 230,52;;
Лютий 2024;Djeco;DJ09065;"Djeco Художній комплект для малювання водою ""Що навколо?""";11,000;2 766,78;;
Лютий 2024;Djeco;DJ09066;"Djeco Художній комплект для малювання водою ""У дорозі""";13,000;3 637,14;;
Лютий 2024;Djeco;DJ09071;"Djeco Набір для творчості з наліпками, що переміщуються ""Тварини""";75,000;15 276,96;;
Лютий 2024;Djeco;DJ09072;"Djeco Набір з переміщуваними наклейками ""Будинок""";6,000;1 362,48;;
Лютий 2024;Djeco;DJ09073;"Djeco Набір для творчості з наліпками, що переміщуються ""Автомобілі""";19,000;4 261,08;;
Лютий 2024;Djeco;DJ09074;"Djeco Художній комплект для малювання водою ""В морі, в небі, на землі""";42,000;10 582,62;;
Лютий 2024;Djeco;DJ09075;"Djeco Художній комплект для малювання водою ""В парку""";54,000;13 245,30;;
Лютий 2024;Djeco;DJ09101;"Djeco Гра ""Великі джунглі""";5,000;3 924,24;;
Лютий 2024;Djeco;DJ09102;"Djeco Гра ""Кубанімо""";-2,000;-2 159,28;;
Лютий 2024;Djeco;DJ09210;"Djeco Набір наліпок для обличчя ""Птахи""";-1,000;-73,74;;
Лютий 2024;Djeco;DJ09216;"Djeco Набір наліпок для обличчя ""Король""";-2,000;-105,36;;
Лютий 2024;Djeco;DJ09230;"Djeco Грим для обличчя, палітра 6 кольорів ""Природа""";100,000;19 884,00;;
Лютий 2024;Djeco;DJ09231;"Djeco Грим для обличчя, палітра 6 кольорів ""Ніжність""";69,000;13 867,92;;
Лютий 2024;Djeco;DJ09268;"Djeco Набір наліпок ""Екзотика""";14,000;1 277,70;;
Лютий 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";24,000;2 195,82;;
Лютий 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";32,000;21 564,30;;
Лютий 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";13,000;8 542,98;;
Лютий 2024;Djeco;DJ09312;"Djeco Набір для творчості Фабрика мистецтва ""Діадеми""";-3,000;-1 602,06;;
Лютий 2024;Djeco;DJ09320;"Djeco Набір для творчості ""Брошка Bunny Girl Factory E - text""";-1,000;-572,64;;
Лютий 2024;Djeco;DJ09321;"Djeco Набір для творчості ""Брошка Sweet Unicorn E - texti""";-1,000;-572,64;;
Лютий 2024;Djeco;DJ09330;"Djeco Набір для творчості ""Світ квітів""";84,000;70 884,06;;
Лютий 2024;Djeco;DJ09331;"Djeco Набір для творчості ""Світ динозаврів""";15,000;12 818,10;;
Лютий 2024;Djeco;DJ09332;"Djeco Набір для творчості ""Казкова скринька""";164,000;137 497,50;;
Лютий 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";15,000;8 234,58;;
