tag,family,category,OOF_safe,val_SIMSCORE,val_WAPE,val_bias,val_M_WAPE,test_SIMSCORE,test_WAPE,test_bias,test_M_WAPE,val_rows,test_rows,gap_SIMSCORE,gap_bias_abs
v5,V5,individual_base,True,0.4835250706175667,0.441010213277397,1.6733163152986692,0.0682965515273527,0.55992463958562,0.4775096244371776,0.8074956392254975,0.1567550739046298,31452,20968,0.0763995689680532,-0.8658206760731717
v7sym_huber,V7-family,individual_base,True,0.5295707506518136,0.4458834724097333,-8.123985258732327,0.0861347038968372,0.5635031091504012,0.4500686322055575,-10.491912979611945,0.1219498240935681,31452,20968,0.0339323584985876,2.3679277208796172
v12_external_g93,V12,individual_base,True,0.4066,0.3372,-7.297,0.0659,0.5651,0.4219,-11.881,0.1677,31452,20968,0.1585,4.5840000000000005
v77_nopromo,V7.7,individual_base,True,0.480551562364702,0.4283865849515756,3.0358519604782472,0.0739714352214701,0.6119750593353157,0.4790664674937657,7.392341036932742,0.1918937733137724,31452,20968,0.1314234969706137,4.356489076454495
v7sym_l2,V7-family,individual_base,True,0.5278972806982595,0.4478970682498811,6.80218572505656,0.091978567646191,0.6315321857660359,0.4824136892738473,12.46259803589003,0.1736110126254766,31452,20968,0.1036349050677764,5.66041231083347
v14_globalnn,V14,individual_base,True,0.5312,0.4687,-2.024,0.1048,0.6325,0.5224,-6.888,0.1513,51324,34216,0.1012999999999999,4.864
v12_intermittent,V12,individual_base,True,0.7786,0.655,-6.945,0.1778,0.8164,0.648,-15.3,0.1838,31368,18298,0.0378,8.355
v9_weekly,V9,individual_base,True,0.7782851423458526,0.6715573791498033,8.109553270385306e-07,0.2134555182825453,0.8251815484772115,0.7092596060483399,0.9970985036033032,0.22187289982171,37836,22071,0.0468964061313589,0.9970976926479762
v13_chronos_ft,V13,individual_base,True,0.8636,0.6374,-25.524,0.197,0.8473,0.6172,-23.875,0.2215,31188,20792,-0.0162999999999999,-1.649000000000001
v10_topdown,V10,individual_base,True,0.5410138698573389,0.4096794127894375,12.7120263283911,0.1355486508518919,0.8637846464935702,0.5629321558922931,30.085249060127715,0.300852490601277,31452,18347,0.3227707766362313,17.373222731736618
ewma6,naive,naive_baseline,True,0.765463335045347,0.6292287775461336,-3.019367980418873,0.2422754351942381,0.8794022913240168,0.6522392296215397,-16.805300006336534,0.2862731233415889,51324,34216,0.1139389562786697,13.78593202591766
v11_chronos,V11,individual_base,True,0.8035598936382837,0.5755549422510595,-20.424872455542744,0.2517611782190209,0.8837595293542165,0.593922381418399,-25.569901803831208,0.3239752778333229,51324,29939,0.0801996357159328,5.145029348288464
naiveS,naive,naive_baseline,True,0.7972274532580064,0.7455428641827557,2.2463143197404625,0.0809060349530966,0.8913299388713177,0.7575701703376969,-12.632788233792388,0.1411916547293176,51324,34216,0.0941024856133113,10.386473914051926
yoyTrend,other,individual_base,True,1.509492898038405,1.043783166398034,43.69391307753499,0.4944803325053923,0.8956208875137532,0.746940189888555,-14.753264129257952,0.1498287539578169,51324,34216,-0.6138720105246518,-28.940648948277033
ma3,naive,naive_baseline,True,0.808387648106756,0.643499533606716,-1.716366395435028,0.3126125650457299,0.8962608913535772,0.6664373750124101,-7.436850241819972,0.3852785302641345,51324,34216,0.0878732432468212,5.720483846384944
ma6,naive,naive_baseline,True,0.8103764194684484,0.6482944867816125,-1.2595551957385147,0.3115683134162868,0.8992948690673739,0.639510970541932,-17.53230175727233,0.3442447794781605,51324,34216,0.0889184495989254,16.272746561533815
v10_mint,V10,individual_base,True,0.6097821986848107,0.4249358156404315,-18.484638304437908,0.1848463830443792,0.9361700694245244,0.5911935323436242,-34.497653708090006,0.3449765370809001,51324,29939,0.3263878707397136,16.013015403652098
