weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[0.6499999999999999, 0.025, 0.2, 0.125]",0.6499999999999999,0.025,0.2,0.125,0.43562,-3.682,-1.636
"[0.625, 0.025, 0.2, 0.15]",0.625,0.025,0.2,0.15,0.44123999999999997,-3.9669,-1.659
"[0.95, 0.05, 0.0, 0.0]",0.95,0.05,0.0,0.0,0.41037,-1.0844,0.078
"[0.925, 0.05, 0.0, 0.025]",0.925,0.05,0.0,0.025,0.41256000000000004,-1.3696,0.055
"[0.9, 0.05, 0.0, 0.05]",0.9,0.05,0.0,0.05,0.41529000000000005,-1.6548,0.032
"[0.875, 0.05, 0.0, 0.075]",0.875,0.05,0.0,0.075,0.4185,-1.9397,0.009
"[0.85, 0.05, 0.0, 0.1]",0.85,0.05,0.0,0.1,0.4225,-2.2254,-0.015
"[0.825, 0.05, 0.0, 0.125]",0.825,0.05,0.0,0.125,0.42710000000000004,-2.5106,-0.038
"[0.8, 0.05, 0.0, 0.15]",0.8,0.05,0.0,0.15,0.43258,-2.7955,-0.061
"[0.75, 0.05, 0.0, 0.2]",0.75,0.05,0.0,0.2,0.44476000000000004,-3.3661,-0.107
"[0.925, 0.05, 0.025, 0.0]",0.925,0.05,0.025,0.0,0.41082,-1.2465000000000002,-0.138
"[0.9, 0.05, 0.025, 0.025]",0.9,0.05,0.025,0.025,0.41318,-1.5317,-0.161
"[0.875, 0.05, 0.025, 0.05]",0.875,0.05,0.025,0.05,0.41596,-1.8169,-0.184
"[0.85, 0.05, 0.025, 0.075]",0.85,0.05,0.025,0.075,0.41934,-2.1023,-0.208
"[0.825, 0.05, 0.025, 0.1]",0.825,0.05,0.025,0.1,0.42341,-2.3875,-0.231
"[0.8, 0.05, 0.025, 0.125]",0.8,0.05,0.025,0.125,0.42821,-2.6727,-0.254
"[0.775, 0.05, 0.025, 0.15]",0.775,0.05,0.025,0.15,0.43369,-2.9578,-0.277
