weights,w_base,w_v12ext,w_v11g93,w_chronos,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"(0.775, 0.075, 0.0, 0.15)",0.775,0.075,0.0,0.15,0.44033999999999995,-3.955,-0.96
"(0.725, 0.075, 0.0, 0.2)",0.725,0.075,0.0,0.2,0.45615000000000006,-4.87,-1.263
"(0.9, 0.075, 0.025, 0.0)",0.9,0.075,0.025,0.0,0.41115999999999997,-1.3736,-0.27
"(0.875, 0.075, 0.025, 0.025)",0.875,0.075,0.025,0.025,0.41394,-1.8307,-0.421
"(0.85, 0.075, 0.025, 0.05)",0.85,0.075,0.025,0.05,0.41752,-2.2881,-0.572
"(0.825, 0.075, 0.025, 0.075)",0.825,0.075,0.025,0.075,0.42203999999999997,-2.7452,-0.723
"(0.8, 0.075, 0.025, 0.1)",0.8,0.075,0.025,0.1,0.42791999999999997,-3.2026,-0.874
"(0.775, 0.075, 0.025, 0.125)",0.775,0.075,0.025,0.125,0.43437000000000003,-3.6597,-1.025
"(0.75, 0.075, 0.025, 0.15)",0.75,0.075,0.025,0.15,0.4415,-4.1175999999999995,-1.177
"(0.7, 0.075, 0.025, 0.2)",0.7,0.075,0.025,0.2,0.45733,-5.0321,-1.479
"(0.875, 0.075, 0.05, 0.0)",0.875,0.075,0.05,0.0,0.41198,-1.5356999999999998,-0.486
"(0.85, 0.075, 0.05, 0.025)",0.85,0.075,0.05,0.025,0.41481,-1.9928000000000001,-0.637
"(0.825, 0.075, 0.05, 0.05)",0.825,0.075,0.05,0.05,0.41841,-2.4502,-0.788
"(0.8, 0.075, 0.05, 0.075)",0.8,0.075,0.05,0.075,0.42315,-2.9073,-0.939
"(0.775, 0.075, 0.05, 0.1)",0.775,0.075,0.05,0.1,0.42901,-3.3647,-1.09
"(0.75, 0.075, 0.05, 0.125)",0.75,0.075,0.05,0.125,0.43553,-3.8223,-1.242
"(0.725, 0.075, 0.05, 0.15)",0.725,0.075,0.05,0.15,0.44261,-4.2797,-1.393
"(0.675, 0.075, 0.05, 0.2)",0.675,0.075,0.05,0.2,0.45856,-5.1942,-1.695
"(0.85, 0.075, 0.075, 0.0)",0.85,0.075,0.075,0.0,0.41285000000000005,-1.6978,-0.702
"(0.825, 0.075, 0.075, 0.025)",0.825,0.075,0.075,0.025,0.41568,-2.1549,-0.853
"(0.8, 0.075, 0.075, 0.05)",0.8,0.075,0.075,0.05,0.4193,-2.6122999999999994,-1.004
"(0.775, 0.075, 0.075, 0.075)",0.775,0.075,0.075,0.075,0.42422,-3.0699,-1.156
"(0.75, 0.075, 0.075, 0.1)",0.75,0.075,0.075,0.1,0.43011999999999995,-3.5273000000000003,-1.307
"(0.725, 0.075, 0.075, 0.125)",0.725,0.075,0.075,0.125,0.43667,-3.9844,-1.458
"(0.7, 0.075, 0.075, 0.15)",0.7,0.075,0.075,0.15,0.44377,-4.4418,-1.609
"(0.65, 0.075, 0.075, 0.2)",0.65,0.075,0.075,0.2,0.45977,-5.3563,-1.911
"(0.825, 0.075, 0.1, 0.0)",0.825,0.075,0.1,0.0,0.41367,-1.8599,-0.918
"(0.8, 0.075, 0.1, 0.025)",0.8,0.075,0.1,0.025,0.41654,-2.317,-1.069
"(0.775, 0.075, 0.1, 0.05)",0.775,0.075,0.1,0.05,0.42017,-2.7749,-1.221
"(0.75, 0.075, 0.1, 0.075)",0.75,0.075,0.1,0.075,0.42530999999999997,-3.232,-1.372
"(0.725, 0.075, 0.1, 0.1)",0.725,0.075,0.1,0.1,0.43121,-3.6894,-1.523
"(0.7, 0.075, 0.1, 0.125)",0.7,0.075,0.1,0.125,0.43779999999999997,-4.1465000000000005,-1.674
"(0.675, 0.075, 0.1, 0.15)",0.675,0.075,0.1,0.15,0.44498000000000004,-4.6039,-1.825
"(0.625, 0.075, 0.1, 0.2)",0.625,0.075,0.1,0.2,0.461,-5.5184,-2.127
"(0.8, 0.075, 0.125, 0.0)",0.8,0.075,0.125,0.0,0.41454,-2.0220000000000002,-1.134
"(0.775, 0.075, 0.125, 0.025)",0.775,0.075,0.125,0.025,0.41746,-2.4795999999999996,-1.286
"(0.75, 0.075, 0.125, 0.05)",0.75,0.075,0.125,0.05,0.42117000000000004,-2.937,-1.437
"(0.725, 0.075, 0.125, 0.075)",0.725,0.075,0.125,0.075,0.4264,-3.3941000000000003,-1.588
"(0.7, 0.075, 0.125, 0.1)",0.7,0.075,0.125,0.1,0.43233999999999995,-3.8515,-1.739
"(0.675, 0.075, 0.125, 0.125)",0.675,0.075,0.125,0.125,0.43896,-4.3086,-1.89
"(0.65, 0.075, 0.125, 0.15)",0.65,0.075,0.125,0.15,0.44616,-4.766,-2.041
"(0.6, 0.075, 0.125, 0.2)",0.6,0.075,0.125,0.2,0.46226,-5.681,-2.344
"(0.775, 0.075, 0.15, 0.0)",0.775,0.075,0.15,0.0,0.41540999999999995,-2.1846,-1.351
"(0.75, 0.075, 0.15, 0.025)",0.75,0.075,0.15,0.025,0.41833,-2.6417,-1.502
"(0.725, 0.075, 0.15, 0.05)",0.725,0.075,0.15,0.05,0.42225999999999997,-3.0991,-1.653
"(0.7, 0.075, 0.15, 0.075)",0.7,0.075,0.15,0.075,0.42750999999999995,-3.5562000000000005,-1.804
"(0.675, 0.075, 0.15, 0.1)",0.675,0.075,0.15,0.1,0.43352999999999997,-4.0136,-1.955
