weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,w_v14_nn,OOF_recency,OOF_bias_recency_pct
"[0.8, 0.0, 0.0, 0.075, 0.075, 0.05]",0.8,0.0,0.0,0.075,0.075,0.05,0.41937,-2.0084
"[0.775, 0.0, 0.0, 0.075, 0.075, 0.075]",0.775,0.0,0.0,0.075,0.075,0.075,0.41969,-1.9905000000000002
"[0.75, 0.0, 0.0, 0.075, 0.075, 0.1]",0.75,0.0,0.0,0.075,0.075,0.1,0.42010000000000003,-1.9730999999999999
"[0.7, 0.0, 0.0, 0.075, 0.075, 0.15]",0.7,0.0,0.0,0.075,0.075,0.15,0.42134000000000005,-1.9378
"[0.825, 0.0, 0.0, 0.075, 0.1, 0.0]",0.825,0.0,0.0,0.075,0.1,0.0,0.41963,-2.162
"[0.8, 0.0, 0.0, 0.075, 0.1, 0.025]",0.8,0.0,0.0,0.075,0.1,0.025,0.41969,-2.1446
"[0.775, 0.0, 0.0, 0.075, 0.1, 0.05]",0.775,0.0,0.0,0.075,0.1,0.05,0.41991999999999996,-2.1271999999999998
"[0.75, 0.0, 0.0, 0.075, 0.1, 0.075]",0.75,0.0,0.0,0.075,0.1,0.075,0.42024,-2.1093
"[0.725, 0.0, 0.0, 0.075, 0.1, 0.1]",0.725,0.0,0.0,0.075,0.1,0.1,0.42068,-2.0919
"[0.675, 0.0, 0.0, 0.075, 0.1, 0.15]",0.675,0.0,0.0,0.075,0.1,0.15,0.42186999999999997,-2.0563
"[0.775, 0.0, 0.0, 0.075, 0.15, 0.0]",0.775,0.0,0.0,0.075,0.15,0.0,0.42074999999999996,-2.3996
"[0.75, 0.0, 0.0, 0.075, 0.15, 0.025]",0.75,0.0,0.0,0.075,0.15,0.025,0.42079,-2.3822
"[0.725, 0.0, 0.0, 0.075, 0.15, 0.05]",0.725,0.0,0.0,0.075,0.15,0.05,0.42099,-2.3643
"[0.7, 0.0, 0.0, 0.075, 0.15, 0.075]",0.7,0.0,0.0,0.075,0.15,0.075,0.42134,-2.3465999999999996
"[0.675, 0.0, 0.0, 0.075, 0.15, 0.1]",0.675,0.0,0.0,0.075,0.15,0.1,0.42178000000000004,-2.3287
"[0.625, 0.0, 0.0, 0.075, 0.15, 0.15]",0.625,0.0,0.0,0.075,0.15,0.15,0.42305000000000004,-2.2939
"[0.9, 0.0, 0.0, 0.1, 0.0, 0.0]",0.9,0.0,0.0,0.1,0.0,0.0,0.42286999999999997,-1.9722999999999997
"[0.875, 0.0, 0.0, 0.1, 0.0, 0.025]",0.875,0.0,0.0,0.1,0.0,0.025,0.42233,-1.9544000000000001
"[0.85, 0.0, 0.0, 0.1, 0.0, 0.05]",0.85,0.0,0.0,0.1,0.0,0.05,0.42194,-1.9369999999999998
"[0.825, 0.0, 0.0, 0.1, 0.0, 0.075]",0.825,0.0,0.0,0.1,0.0,0.075,0.42216,-1.9191000000000003
"[0.8, 0.0, 0.0, 0.1, 0.0, 0.1]",0.8,0.0,0.0,0.1,0.0,0.1,0.42264999999999997,-1.9017
"[0.75, 0.0, 0.0, 0.1, 0.0, 0.15]",0.75,0.0,0.0,0.1,0.0,0.15,0.4239,-1.8664
"[0.875, 0.0, 0.0, 0.1, 0.025, 0.0]",0.875,0.0,0.0,0.1,0.025,0.0,0.42276,-2.0913000000000004
"[0.85, 0.0, 0.0, 0.1, 0.025, 0.025]",0.85,0.0,0.0,0.1,0.025,0.025,0.42223,-2.0734
"[0.825, 0.0, 0.0, 0.1, 0.025, 0.05]",0.825,0.0,0.0,0.1,0.025,0.05,0.42235999999999996,-2.056
"[0.8, 0.0, 0.0, 0.1, 0.025, 0.075]",0.8,0.0,0.0,0.1,0.025,0.075,0.42271000000000003,-2.0381
"[0.775, 0.0, 0.0, 0.1, 0.025, 0.1]",0.775,0.0,0.0,0.1,0.025,0.1,0.42313,-2.0207
"[0.725, 0.0, 0.0, 0.1, 0.025, 0.15]",0.725,0.0,0.0,0.1,0.025,0.15,0.4244,-1.9850999999999999
"[0.85, 0.0, 0.0, 0.1, 0.05, 0.0]",0.85,0.0,0.0,0.1,0.05,0.0,0.42271000000000003,-2.2101
"[0.825, 0.0, 0.0, 0.1, 0.05, 0.025]",0.825,0.0,0.0,0.1,0.05,0.025,0.42269999999999996,-2.1922
"[0.8, 0.0, 0.0, 0.1, 0.05, 0.05]",0.8,0.0,0.0,0.1,0.05,0.05,0.4229,-2.1748
"[0.775, 0.0, 0.0, 0.1, 0.05, 0.075]",0.775,0.0,0.0,0.1,0.05,0.075,0.42323,-2.1569000000000003
"[0.75, 0.0, 0.0, 0.1, 0.05, 0.1]",0.75,0.0,0.0,0.1,0.05,0.1,0.42364999999999997,-2.1391999999999998
"[0.7, 0.0, 0.0, 0.1, 0.05, 0.15]",0.7,0.0,0.0,0.1,0.05,0.15,0.42489999999999994,-2.1039
"[0.825, 0.0, 0.0, 0.1, 0.075, 0.0]",0.825,0.0,0.0,0.1,0.075,0.0,0.42315,-2.3289
"[0.8, 0.0, 0.0, 0.1, 0.075, 0.025]",0.8,0.0,0.0,0.1,0.075,0.025,0.42322,-2.3110000000000004
"[0.775, 0.0, 0.0, 0.1, 0.075, 0.05]",0.775,0.0,0.0,0.1,0.075,0.05,0.4234,-2.2936
"[0.75, 0.0, 0.0, 0.1, 0.075, 0.075]",0.75,0.0,0.0,0.1,0.075,0.075,0.42374999999999996,-2.2754000000000003
"[0.725, 0.0, 0.0, 0.1, 0.075, 0.1]",0.725,0.0,0.0,0.1,0.075,0.1,0.4242,-2.258
"[0.675, 0.0, 0.0, 0.1, 0.075, 0.15]",0.675,0.0,0.0,0.1,0.075,0.15,0.42545,-2.2227
"[0.8, 0.0, 0.0, 0.1, 0.1, 0.0]",0.8,0.0,0.0,0.1,0.1,0.0,0.42372,-2.4477
