name,OOF_mean,OOF_recency,OOF_bias_recency_pct,OOF_folds,OOF_bias_folds,fold_bias_signs,last_two_agree,all_agree,bias_stability_score,in_sample,gap
v10+v11_chronos_tau0.55_ch08,0.39,0.415,-1.447,"[0.3102, 0.3849, 0.475]","[-1.497, -0.544, -1.968]","[-1, -1, -1]",True,True,1.0706,0.3572,0.0328
v10_baseline_tau0.52_ch08,0.3899,0.415,-1.449,"[0.3097, 0.3848, 0.4752]","[-1.448, -0.535, -1.997]","[-1, -1, -1]",True,True,1.0684,0.357,0.0329
v10+v11_chronos_tau0.52_ch08,0.3899,0.415,-1.449,"[0.3097, 0.3848, 0.4752]","[-1.448, -0.535, -1.997]","[-1, -1, -1]",True,True,1.0684,0.3572,0.0327
v10_baseline_tau0.55_ch08,0.39,0.415,-1.447,"[0.3102, 0.3849, 0.475]","[-1.497, -0.544, -1.968]","[-1, -1, -1]",True,True,1.0706,0.3571,0.0329
v10+v12_intermittent_tau0.55_ch08,0.39,0.415,-1.432,"[0.3102, 0.3849, 0.4749]","[-1.497, -0.544, -1.938]","[-1, -1, -1]",True,True,1.0543,0.3571,0.0329
v10+v11_recent_only_tau0.52_ch08,0.3903,0.415,-1.601,"[0.3129, 0.3831, 0.475]","[-1.861, -0.438, -2.195]","[-1, -1, -1]",True,True,0.9614,0.3563,0.034
v10+v11_recent_only_tau0.5_ch08,0.3903,0.415,-1.599,"[0.3126, 0.3832, 0.4751]","[-1.815, -0.434, -2.211]","[-1, -1, -1]",True,True,0.9596,0.3564,0.0339
v10+v11_recent_only_tau0.55_ch08,0.3906,0.4151,-1.609,"[0.3139, 0.383, 0.4748]","[-1.97, -0.443, -2.164]","[-1, -1, -1]",True,True,0.9587,0.3563,0.0343
v10+all_v11_tau0.52_ch08,0.3913,0.4153,-1.719,"[0.3168, 0.3829, 0.4742]","[-2.317, -0.147, -2.423]","[-1, -1, -1]",True,True,0.3562,0.3559,0.0354
v10+v11_g93_tau0.5_ch08,0.3906,0.4153,-1.53,"[0.3128, 0.3834, 0.4755]","[-1.838, -0.199, -2.206]","[-1, -1, -1]",True,True,0.439,0.3568,0.0338
v10+all_v11_tau0.5_ch08,0.3912,0.4153,-1.707,"[0.3164, 0.383, 0.4742]","[-2.261, -0.138, -2.427]","[-1, -1, -1]",True,True,0.3349,0.3559,0.0353
v10+all_v11_tau0.55_ch08,0.3915,0.4154,-1.739,"[0.3177, 0.3828, 0.4741]","[-2.414, -0.158, -2.418]","[-1, -1, -1]",True,True,0.382,0.3559,0.0356
